"","track.name","instrumentalness","danceability","acousticness","energy","tempo","speechiness","valence","Playlist"
"589","All Night",0,0.6,0.00274,0.905,124.032,0.0357,0.636,"Energy"
"590","Dance Again",2.79e-06,0.797,0.0158,0.867,127.974,0.0696,0.716,"Energy"
"591","Heart to Break",2.77e-06,0.74,0.0403,0.631,109.029,0.196,0.887,"Energy"
"592","Grace Kelly",0.0102,0.675,0.0242,0.828,122.229,0.0454,0.669,"Energy"
"593","Green Light",8.55e-06,0.594,0.0209,0.721,128.942,0.0957,0.253,"Energy"
"594","Don’t Feel Like Crying",0,0.749,0.156,0.814,119.964,0.0404,0.715,"Energy"
"595","Something In The Way You Move",0,0.658,0.0398,0.814,109.004,0.0493,0.316,"Energy"
"596","One Kiss (with Dua Lipa)",2.19e-05,0.791,0.037,0.862,123.994,0.11,0.592,"Energy"
"597","By Your Side",0,0.695,0.0786,0.743,123.007,0.0329,0.634,"Energy"
"598","24K Magic",0,0.818,0.034,0.803,106.97,0.0797,0.632,"Energy"
"599","Lullaby",1.27e-05,0.725,0.0784,0.834,120.026,0.037,0.859,"Energy"
"600","Girls Like (feat. Zara Larsson)",1.18e-05,0.916,0.37,0.804,120.028,0.049,0.538,"Energy"
