"","track.name","instrumentalness","danceability","acousticness","energy","tempo","speechiness","valence","Playlist"
"138","Train Wreck",0,0.311,0.701,0.485,77.355,0.0365,0.225,"Sad"
"139","could cry just thinkin about you",0,0.515,0.318,0.323,147.972,0.0429,0.188,"Sad"
"140","Make It To Me",3.1e-06,0.456,0.63,0.379,149.967,0.0685,0.225,"Sad"
"141","Keep Your Head Up Princess",0,0.689,0.97,0.143,85.398,0.264,0.528,"Sad"
"142","Crying Over You",0,0.463,0.679,0.411,147.3,0.0414,0.163,"Sad"
"143","Heartbreak Anniversary",1.02e-06,0.449,0.524,0.465,89.087,0.0791,0.543,"Sad"
"144","One More I Love You",0.00218,0.631,0.768,0.381,92.951,0.0386,0.546,"Sad"
"145","Love is Pain",0.000104,0.609,0.927,0.141,78.233,0.0394,0.107,"Sad"
"146","Cry with you",1.5e-06,0.51,0.321,0.307,159.794,0.101,0.356,"Sad"
"147","Changes",3.88e-05,0.648,0.939,0.115,119.967,0.0445,0.29,"Sad"
"148","Cry Over Boys",2.44e-05,0.855,0.837,0.254,118.006,0.0664,0.378,"Sad"
"149","A Little Bit Yours",0,0.598,0.735,0.295,87.025,0.0276,0.314,"Sad"
"150","The Way You Felt",0,0.872,0.715,0.52,131.918,0.0618,0.736,"Sad"
"151","Grey",0,0.298,0.869,0.295,171.361,0.0318,0.199,"Sad"
"152","all i need (the distance song)",0,0.651,0.976,0.119,97.061,0.04,0.376,"Sad"
"153","Gone",0,0.317,0.039,0.545,139.014,0.0469,0.14,"Sad"
"154","Break My Heart Again",0,0.402,0.907,0.151,144.293,0.0395,0.483,"Sad"
"155","Young & Sad",0,0.618,0.592,0.428,142.021,0.038,0.359,"Sad"
"156","Better Man (Taylor's Version) (From The Vault)",0,0.473,0.214,0.579,73.942,0.0384,0.255,"Sad"
"157","Devil On My Shoulder",1.82e-05,0.661,0.649,0.323,129.955,0.0412,0.372,"Sad"
"158","Let Somebody Go",0.00245,0.592,0.193,0.342,130.953,0.0339,0.155,"Sad"
"159","House With No Mirrors",2.61e-06,0.72,0.832,0.408,121.972,0.0498,0.341,"Sad"
"160","I Lost a Friend",0,0.453,0.587,0.209,169.316,0.223,0.216,"Sad"
